pos,athlete,country,points,data_type,100,lj,sp,hj,400,110h,dt,pv,jt,1500,event_id,event_name
,Oleg Veretelnikov,UZB,,Mark,12.17,,,,,,,,,,6951910,og_2000
,Aki Heikkinen,FIN,,Mark,11.15,NM,13.37,,,,,,,,6951910,og_2000
,Jón Arnar Magnússon,ISL,,Mark,10.85,NM,15.48,,,,,,,,6951910,og_2000
,Scott Ferrier,AUS,,Mark,11.11,7.19,13.50,1.97,,,,,,,6951910,og_2000
,Eugenio Balanqué,CUB,,Mark,10.87,6.19,14.90,1.94,48.23,14.36,46.56,,,,6951910,og_2000
,Philipp Huber,SUI,,Mark,11.35,,,,,,,,,,6951910,og_2000
,Georgios Andréou,CYP,,Mark,10.97,6.73,14.24,,,,,,,,6951910,og_2000
,Sébastien Levicq,FRA,,Mark,11.48,6.57,13.53,,,,,,,,6951910,og_2000
,Pródromos Korkízoglou,GRE,,Mark,10.74,7.16,13.70,1.97,53.57,,,,,,6951910,og_2000
,Trond Høiby,NOR,,Mark,11.56,6.22,14.03,,,,,,,,6951910,og_2000
,Francisco Javier Benet,ESP,,Mark,11.42,6.32,,,,,,,,,6951910,og_2000
,Claston Bernard,JAM,,Mark,10.79,NM,13.68,2.09,49.77,15.01,41.15,,,,6951910,og_2000
,Roman Razbeyko,RUS,,Mark,11.45,6.82,13.98,1.97,,,,,,,6951910,og_2000
1,Roman Šebrle,CZE,8893 OR,Mark,10.85,7.84,16.36,2.12,48.36,14.05,48.72,5.00,70.52,4:40.01,6913163,og_2004
2,Bryan Clay,USA,8820 PB,Mark,10.44,7.96,15.23,2.06,49.19,14.13,50.11,4.90,69.71,4:41.65,6913163,og_2004
3,Dmitriy Karpov,KAZ,8725 AR,Mark,10.50,7.81,15.93,2.09,46.81,13.97,51.65,4.60,55.54,4:38.11,6913163,og_2004
4,Dean Macey,GBR,8414 SB,Mark,10.89,7.47,15.73,2.15,48.97,14.56,48.34,4.40,58.46,4:25.42,6913163,og_2004
5,Chiel Warners,NED,8343 SB,Mark,10.62,7.74,14.48,1.97,47.97,14.01,43.73,4.90,55.39,4:38.05,6913163,og_2004
6,Attila Zsivoczky-Pandel,HUN,8287 SB,Mark,10.91,7.14,15.31,2.12,49.40,14.95,45.62,4.70,63.45,4:29.54,6913163,og_2004
7,Laurent Hernu,FRA,8237 SB,Mark,10.97,7.19,14.65,2.03,48.73,14.25,44.72,4.80,57.76,4:24.35,6913163,og_2004
8,Erki Nool,EST,8235,Mark,10.80,7.53,14.26,1.88,48.81,14.80,42.05,5.40,61.33,4:36.33,6913163,og_2004
9,Claston Bernard,JAM,8225 NR,Mark,10.69,7.48,14.80,2.12,49.13,14.17,44.75,4.40,55.27,4:36.31,6913163,og_2004
10,Roland Schwarzl,AUT,8102 PB,Mark,10.98,7.49,14.01,1.94,49.76,14.25,42.43,5.10,56.32,4:33.56,6913163,og_2004
11,Aleksandr Pogorelov,RUS,8084 SB,Mark,10.95,7.31,15.10,2.06,50.79,14.21,44.60,5.00,53.45,4:47.63,6913163,og_2004
12,Florian Schönbeck,GER,8077,Mark,10.90,7.30,14.77,1.88,50.30,14.34,44.41,5.00,60.89,4:38.82,6913163,og_2004
13,Romain Barras,FRA,8067 SB,Mark,11.14,6.99,14.91,1.94,49.41,14.37,44.83,4.60,64.55,4:27.09,6913163,og_2004
14,Maurice Smith,JAM,8023,Mark,10.85,6.81,15.24,1.91,49.27,14.01,49.02,4.20,61.52,4:32.74,6913163,og_2004
15,Nikolay Averyanov,RUS,8021,Mark,10.55,7.34,14.44,1.94,49.72,14.39,39.88,4.80,54.51,4:31.02,6913163,og_2004
16,Jaakko Ojaniemi,FIN,8006 SB,Mark,10.68,7.50,14.97,1.94,49.12,15.01,40.35,4.60,59.26,4:35.71,6913163,og_2004
17,Vitaliy Smirnov,UZB,7993,Mark,10.89,7.07,13.88,1.94,49.11,14.77,42.47,4.70,60.88,4:23.31,6913163,og_2004
18,Haifeng Qi,CHN,7934,Mark,11.06,7.34,13.55,1.97,49.65,14.78,45.13,4.50,60.79,4:32.63,6913163,og_2004
19,Stefan Drews,GER,7926,Mark,10.87,7.38,13.07,1.88,48.51,14.01,40.11,5.00,51.53,4:34.21,6913163,og_2004
20,Aliaksandr Parkhomenka,BLR,7918 SB,Mark,11.14,6.61,15.69,2.03,51.04,14.88,41.90,4.80,65.82,4:37.94,6913163,og_2004
21,Paul Terek,USA,7893,Mark,10.92,6.94,15.15,1.94,49.56,15.12,45.62,5.30,50.62,4:50.36,6913163,og_2004
22,David Gómez,ESP,7865,Mark,11.08,7.26,14.57,1.85,48.61,14.41,40.95,4.40,60.71,4:29.70,6913163,og_2004
23,Indrek Turi,EST,7708,Mark,11.08,6.91,13.62,2.03,51.67,14.26,39.83,4.80,59.34,4:50.01,6913163,og_2004
24,Santiago Lorenzo,ARG,7592,Mark,11.10,7.03,13.22,1.85,49.34,15.38,40.22,4.50,58.36,4:23.08,6913163,og_2004
25,Janis Karlivans,LAT,7583,Mark,11.33,7.26,13.30,1.97,50.54,14.98,43.34,4.50,52.92,4:38.67,6913163,og_2004
26,Pródromos Korkízoglou,GRE,7573,Mark,10.86,7.07,14.81,1.94,51.16,14.96,46.07,4.70,53.05,5:17.00,6913163,og_2004
27,Hans Olav Uldal,NOR,7495,Mark,11.23,6.99,13.53,1.85,50.95,15.09,43.01,4.50,60.00,4:41.70,6913163,og_2004
28,Paolo Casarsa,ITA,7404,Mark,11.36,6.68,14.92,1.94,53.20,15.39,48.66,4.40,58.62,4:56.12,6913163,og_2004
29,Eugene Martineau,NED,7185,Mark,10.99,6.84,NM,2.00,49.10,15.02,40.00,4.80,63.62,4:31.79,6913163,og_2004
30,Victor Covalenco,MDA,6543,Mark,11.28,7.20,13.04,1.85,51.82,15.80,38.19,NM,53.46,4:23.81,6913163,og_2004
,Pavel Andreev,UZB,DNF,Mark,11.29,NM,14.30,2.00,51.64,15.54,41.89,4.90,DNS,,6913163,og_2004
,Jón Arnar Magnússon,ISL,DNF,Mark,11.05,7.12,14.98,DNS,DNS,DNS,DNS,DNS,,,6913163,og_2004
,Tomáš Dvořák,CZE,DNF,Mark,11.53,DNS,DNS,DNS,DNS,DNS,DNS,,,,6913163,og_2004
,Lev Lobodin,RUS,DNF,Mark,11.05,6.86,DNS,DNS,DNS,DNS,DNS,,,,6913163,og_2004
,Luiggy Llanos,PUR,DNF,Mark,10.94,7.43,13.77,1.91,49.28,14.13,41.82,NM,DNS,,6913163,og_2004
,Dennis Leyckes,GER,DNF,Mark,11.05,7.05,12.84,1.91,DNS,DNS,DNS,,,,6913163,og_2004
,Kristjan Rahnu,EST,DNF,Mark,10.77,NM,14.45,DNS,DNS,DNS,DNS,DNS,,,6913163,og_2004
,Tom Pappas,USA,DNF,Mark,10.80,7.38,16.17,2.03,47.97,14.18,47.39,NM,,,6913163,og_2004
,Ahmad Hassan Moussa,QAT,DNF,Mark,10.79,7.04,13.32,1.82,48.73,DNF,DNS,DNS,,,6913163,og_2004
1,Bryan Clay,USA,8791,Mark,10.44,7.78,16.27,1.99,48.92,13.93,53.79,5.00,70.97,5:06.59,6977748,og_2008
2,Andrei Krauchanka,BLR,8551,Mark,10.96,7.61,14.39,2.11,47.30,14.21,44.58,5.00,60.23,4:27.47,6977748,og_2008
3,Leonel Suárez,CUB,8527 NR,Mark,10.90,7.33,14.49,2.05,47.91,14.15,44.45,4.70,73.98,4:29.17,6977748,og_2008
4,Romain Barras,FRA,8253 SB,Mark,11.26,7.08,15.42,1.96,49.51,14.21,45.17,5.00,65.40,4:29.29,6977748,og_2008
5,Roman Šebrle,CZE,8241 SB,Mark,11.21,7.68,14.78,2.11,49.54,14.71,45.50,4.80,63.93,4:49.63,6977748,og_2008
6,Oleksiy Kasyanov,UKR,8238 PB,Mark,10.53,7.56,15.15,1.96,47.70,14.37,48.39,4.30,51.59,4:28.94,6977748,og_2008
7,André Niklaus,GER,8220,Mark,11.12,7.29,13.23,2.05,49.65,14.37,45.39,5.20,60.21,4:32.90,6977748,og_2008
8,Maurice Smith,JAM,8205,Mark,10.85,7.04,15.09,1.99,47.96,14.08,50.91,4.60,51.52,4:31.62,6977748,og_2008
9,Michael Schrader,GER,8194,Mark,10.80,7.70,13.67,1.99,48.47,14.71,40.41,4.80,60.27,4:26.77,6977748,og_2008
10,Mikk Pahapill,EST,8178 PB,Mark,11.15,7.04,14.36,2.11,50.90,14.51,49.35,4.80,67.07,4:47.03,6977748,og_2008
11,Aleksey Drozdov,RUS,8154,Mark,11.02,7.23,16.26,2.02,51.56,15.51,47.43,5.10,62.57,4:41.34,6977748,og_2008
12,Andres Raja,EST,8118 PB,Mark,10.89,7.29,14.79,1.96,48.98,14.06,39.83,4.80,67.16,4:49.60,6977748,og_2008
13,Eugene Martineau,NED,8055,Mark,11.19,7.19,13.78,1.99,49.99,14.73,44.09,4.70,71.44,4:37.96,6977748,og_2008
14,Yordani García,CUB,7992,Mark,10.64,7.07,15.82,1.96,49.66,13.90,36.73,4.70,65.60,5:00.49,6977748,og_2008
15,Mikalai Shubianok,BLR,7906 SB,Mark,11.31,6.86,14.88,1.99,50.02,14.52,45.80,4.60,62.10,4:38.14,6977748,og_2008
16,Aliaksandr Parkhomenka,BLR,7838,Mark,11.29,6.99,15.49,1.93,50.71,15.06,45.27,4.70,64.60,4:45.17,6977748,og_2008
17,Haifeng Qi,CHN,7835 SB,Mark,11.15,7.22,13.40,1.93,49.39,14.60,46.46,4.30,63.09,4:39.32,6977748,og_2008
18,Massimo Bertocchi,CAN,7714,Mark,11.00,7.05,14.10,1.90,48.72,14.32,44.91,4.70,45.33,4:42.26,6977748,og_2008
19,Jangy Addy,LBR,7665 NR,Mark,10.76,7.38,14.91,1.93,48.51,14.31,42.30,4.20,52.50,5:12.22,6977748,og_2008
20,Daniel Awde,GBR,7516,Mark,11.06,7.12,12.03,1.78,47.16,14.69,37.12,4.90,53.18,4:44.80,6977748,og_2008
21,Hadi Sepehrzad,IRI,7483,Mark,10.92,6.80,16.02,1.90,50.75,14.64,50.32,4.00,49.56,5:06.67,6977748,og_2008
22,Damjan Sitar,SLO,7336,Mark,11.21,7.25,12.41,2.05,50.10,15.03,39.25,4.00,47.23,4:37.37,6977748,og_2008
23,Slaven Dizdarevic,SVK,7021,Mark,11.16,7.02,13.97,1.96,52.02,15.61,39.86,4.00,43.58,4:51.42,6977748,og_2008
24,David Gómez,ESP,6876,Mark,11.12,6.85,13.58,1.81,49.27,14.61,40.17,NM,62.22,4:30.74,6977748,og_2008
25,Mikko Halvari,FIN,6486,Mark,11.18,6.88,13.72,1.93,50.60,16.25,47.71,NM,55.11,5:20.26,6977748,og_2008
,Aleksandr Pogorelov,RUS,DQ,Mark,DQ,DQ,DQ,DQ,DQ,DQ,DQ,DQ,DQ,DQ,6977748,og_2008
,Gonzalo Barroilhet,CHI,DNF,Mark,11.33,7.08,13.23,1.93,51.91,14.26,46.07,NM,DNS,,6977748,og_2008
,Trey Hardee,USA,DNF,Mark,10.52,7.72,13.49,2.05,47.75,14.20,43.55,NM,DNS,,6977748,og_2008
,Janis Karlivans,LAT,DNF,Mark,11.36,7.26,14.85,1.84,51.61,15.28,44.54,DNS,,,6977748,og_2008
,Alexey Sysoev,RUS,DNF,Mark,11.03,6.77,15.42,2.11,50.71,DNF,DNS,DNS,,,6977748,og_2008
,Pavel Andreev,UZB,DNF,Mark,11.47,6.62,14.15,1.99,DNF,DNS,DNS,DNS,,,6977748,og_2008
,Carlos Chinin,BRA,DNF,Mark,10.99,6.94,NM,1.99,49.21,DNS,DNS,DNS,,,6977748,og_2008
,Victor Covalenco,MDA,DNF,Mark,11.87,6.50,13.44,1.81,DNF,DNS,DNS,DNS,,,6977748,og_2008
,Frédéric Xhonneux,BEL,DNF,Mark,11.41,6.94,13.99,1.90,DNF,DNS,DNS,DNS,,,6977748,og_2008
,Arthur Abele,GER,DNF,Mark,10.90,6.47,13.55,1.90,DNS,,,,,,6977748,og_2008
,Hans van Alphen,BEL,DNF,Mark,11.28,6.55,14.86,1.84,DNS,,,,,,6977748,og_2008
,Vitaliy Smirnov,UZB,DNF,Mark,11.56,NM,13.51,DNS,DNS,,,,,,6977748,og_2008
,Tom Pappas,USA,DNF,Mark,11.12,7.41,DNS,DNS,DNS,,,,,,6977748,og_2008
,Attila Zsivoczky-Pandel,HUN,DNF,Mark,11.86,NM,DNS,DNS,DNS,,,,,,6977748,og_2008
,Dmitriy Karpov,KAZ,DNF,Mark,11.83,DNS,DNS,DNS,DNS,,,,,,6977748,og_2008
1,Ashton Eaton,USA,8869,Mark,10.35,8.03,14.66,2.05,46.90,13.56,42.53,5.20,61.96,4:33.59,6999193,og_2012
2,Trey Hardee,USA,8671 SB,Mark,10.42,7.53,15.28,1.99,48.11,13.54,48.26,4.80,66.65,4:40.94,6999193,og_2012
3,Leonel Suárez,CUB,8523 SB,Mark,11.27,7.52,14.50,2.11,49.04,14.45,45.75,4.70,76.94,4:30.08,6999193,og_2012
4,Hans van Alphen,BEL,8447,Mark,11.05,7.64,15.48,2.05,49.18,14.89,48.28,4.80,61.69,4:22.50,6999193,og_2012
5,Damian Warner,CAN,8442 PB,Mark,10.48,7.54,13.73,2.05,48.20,14.38,45.90,4.70,62.77,4:29.85,6999193,og_2012
6,Rico Freimuth,GER,8320,Mark,10.65,7.21,14.87,1.90,48.06,13.89,49.11,4.90,57.37,4:37.62,6999193,og_2012
7,Oleksiy Kasyanov,UKR,8283,Mark,10.56,7.55,14.45,1.99,48.44,14.09,46.72,4.60,54.87,4:33.68,6999193,og_2012
8,Sergey Sviridov,RUS,8219,Mark,10.78,7.45,14.42,1.99,48.91,15.42,47.43,4.60,68.42,4:36.63,6999193,og_2012
9,Willem Coertzen,RSA,8173,Mark,11.09,7.17,13.79,2.05,48.56,14.15,43.58,4.50,64.79,4:26.52,6999193,og_2012
10,Pascal Behrenbruch,GER,8126,Mark,11.06,7.15,15.67,1.96,50.04,14.33,44.71,4.70,64.80,4:37.46,6999193,og_2012
11,Eelco Sintnicolaas,NED,8034,Mark,10.85,7.37,14.18,1.93,48.85,14.43,32.26,5.30,58.82,4:31.17,6999193,og_2012
12,Brent Newdick,NZL,7988,Mark,11.10,7.36,15.09,1.96,50.22,15.02,46.15,4.70,59.82,4:38.20,6999193,og_2012
13,Gonzalo Barroilhet,CHI,7972,Mark,11.18,6.80,14.49,2.05,51.07,14.12,41.27,5.40,57.25,4:48.23,6999193,og_2012
14,Yordani García,CUB,7956,Mark,10.80,6.75,14.48,1.99,48.76,14.24,42.27,4.60,59.85,4:38.57,6999193,og_2012
15,Kevin Mayer,FRA,7952,Mark,11.32,7.17,14.05,2.05,48.76,15.59,41.20,4.70,62.41,4:23.02,6999193,og_2012
16,Ilya Shkurenyov,RUS,7948,Mark,11.01,7.25,12.89,2.02,49.81,14.39,43.51,5.10,53.81,4:42.80,6999193,og_2012
17,Eduard Mikhan,BLR,7928,Mark,10.74,6.94,14.75,1.93,48.42,14.15,44.42,4.40,55.69,4:38.06,6999193,og_2012
18,Dmitriy Karpov,KAZ,7926,Mark,10.91,7.21,16.47,1.99,49.83,14.40,44.93,5.10,49.93,5:16.83,6999193,og_2012
19,Luiz Alberto de Araújo,BRA,7849,Mark,10.70,7.16,13.52,1.93,48.25,14.79,44.76,4.60,51.59,4:38.04,6999193,og_2012
20,Keisuke Ushiro,JPN,7842,Mark,11.32,6.86,13.59,1.99,50.78,15.47,46.66,4.90,66.38,4:39.33,6999193,og_2012
21,Ingmar Vos,NED,7805,Mark,10.98,7.27,13.77,1.96,49.62,14.61,42.26,4.50,61.60,4:50.01,6999193,og_2012
22,Edgars Erinš,LAT,7649,Mark,10.99,6.98,13.45,1.93,50.62,15.22,45.10,4.50,57.35,4:35.88,6999193,og_2012
23,Jangy Addy,LBR,7586,Mark,10.89,6.90,14.97,1.93,48.64,14.23,45.61,4.20,50.36,5:08.14,6999193,og_2012
24,Attila Szabó,HUN,7581,Mark,11.15,6.96,13.93,1.90,50.83,14.92,45.14,4.60,58.84,4:53.81,6999193,og_2012
25,Darius Draudvila,LTU,7557,Mark,10.95,7.12,15.17,1.96,50.13,14.87,46.43,4.20,50.16,5:03.14,6999193,og_2012
26,Rifat Artikov,UZB,7203,Mark,11.37,6.41,14.11,1.93,51.91,14.74,43.53,4.40,56.62,5:09.52,6999193,og_2012
,Roman Šebrle,CZE,DNF,Mark,11.54,DNS,DNS,DNS,DNS,,,,,,6999193,og_2012
,Mihail Dudaš,SRB,DNF,Mark,10.90,7.53,13.76,1.96,DNS,DNS,DNS,DNS,,,6999193,og_2012
,Kurt Felix,GRN,DNF,Mark,11.12,7.63,13.28,2.05,50.17,DNS,DNS,DNS,,,6999193,og_2012
,Jan Felix Knobel,GER,DNF,Mark,11.42,7.05,15.29,1.90,49.87,15.03,46.10,4.40,DNS,,6999193,og_2012
,Daniel Awde,GBR,DNF,Mark,10.71,6.83,DNS,DNS,DNS,,,,,,6999193,og_2012
1,Ashton Eaton,USA,8893 OR,Mark,10.46,7.94,14.73,2.01,46.07,13.80,45.49,5.20,59.77,4:23.33,7093747,og_2016
2,Kevin Mayer,FRA,8834 NR,Mark,10.81,7.60,15.76,2.04,48.28,14.02,46.78,5.40,65.04,4:25.49,7093747,og_2016
3,Damian Warner,CAN,8666 SB,Mark,10.30,7.67,13.66,2.04,47.35,13.58,44.93,4.70,63.19,4:24.90,7093747,og_2016
4,Kai Kazmirek,GER,8580 PB,Mark,10.78,7.69,14.20,2.10,46.75,14.62,43.25,5.00,64.60,4:31.25,7093747,og_2016
5,Larbi Bourrada,ALG,8521 AR,Mark,10.75,7.52,13.78,2.10,47.98,14.15,42.39,4.60,66.49,4:14.60,7093747,og_2016
6,Leonel Suárez,CUB,8460 SB,Mark,11.21,7.14,14.27,2.07,48.15,14.48,47.07,4.90,72.32,4:28.32,7093747,og_2016
7,Zachery Ziemek,USA,8392,Mark,10.71,7.49,13.44,2.10,49.83,14.77,49.42,5.20,60.92,4:42.97,7093747,og_2016
8,Thomas van der Plaetsen,BEL,8332 PB,Mark,11.24,7.66,12.84,2.16,49.63,15.01,43.58,5.40,62.09,4:34.21,7093747,og_2016
9,Kurt Felix,GRN,8323 PB,Mark,10.93,7.42,14.77,2.07,49.14,14.79,45.10,4.50,69.92,4:30.53,7093747,og_2016
10,Luiz Alberto de Araújo,BRA,8315 PB,Mark,10.77,7.48,15.26,1.92,48.14,14.17,45.10,4.90,57.28,4:31.46,7093747,og_2016
11,Jeremy Taiwo,USA,8300,Mark,11.01,7.45,14.92,2.19,48.78,14.57,39.91,5.00,51.29,4:21.96,7093747,og_2016
12,Adam Sebastian Helcelet,CZE,8291 PB,Mark,11.06,7.35,15.11,2.04,49.51,14.37,44.13,4.70,68.20,4:34.41,7093747,og_2016
13,Bastien Auzeil,FRA,8064,Mark,11.17,7.07,15.41,1.98,49.34,14.82,42.23,5.10,61.91,4:40.50,7093747,og_2016
14,Cedric Dubler,AUS,8024,Mark,10.86,7.47,11.49,2.13,48.18,14.30,38.89,4.90,51.82,4:32.12,7093747,og_2016
15,Arthur Abele,GER,8013,Mark,10.87,6.97,15.03,1.98,49.02,14.12,44.66,4.50,64.13,4:53.07,7093747,og_2016
16,Lindon Victor,GRN,7998,Mark,10.83,7.11,14.80,1.98,49.80,15.74,53.24,4.40,63.54,4:44.73,7093747,og_2016
17,Pau Tonnesen,ESP,7982,Mark,11.32,7.33,13.69,2.01,50.81,14.99,46.31,5.20,60.15,4:46.27,7093747,og_2016
18,Yordani García,CUB,7961,Mark,10.81,6.83,14.58,2.01,48.69,14.25,40.34,4.50,64.70,4:44.99,7093747,og_2016
19,Dominik Distelberger,AUT,7954,Mark,10.84,7.33,13.40,1.89,48.61,14.39,38.09,4.80,61.83,4:33.47,7093747,og_2016
20,Keisuke Ushiro,JPN,7952,Mark,11.30,6.83,14.14,1.98,50.43,15.09,49.90,4.90,66.63,4:46.33,7093747,og_2016
21,Paweł Wiesiołek,POL,7784,Mark,10.88,6.73,14.17,2.01,50.18,15.09,48.32,4.50,56.68,4:42.27,7093747,og_2016
22,Akihiko Nakamura,JPN,7612,Mark,11.04,7.13,12.00,1.92,48.93,14.57,34.91,4.70,51.24,4:18.37,7093747,og_2016
23,Karl-Robert Saluri,EST,7223,Mark,10.82,7.02,13.88,1.77,50.32,16.51,42.96,4.50,46.42,4:39.40,7093747,og_2016
24,Maicel Uibo,EST,7170,Mark,11.16,7.14,NM,2.13,51.08,14.84,37.69,5.10,60.52,4:47.49,7093747,og_2016
25,Jirí Sýkora,CZE,6237,Mark,11.15,7.00,13.45,1.98,49.88,15.02,44.49,NM,56.99,DNF,7093747,og_2016
,Willem Coertzen,RSA,DNF,Mark,11.12,6.98,14.00,DNS,DNS,,,,,,7093747,og_2016
,Leonid Andreev,UZB,DNF,Mark,11.29,6.60,14.86,DNS,DNS,,,,,,7093747,og_2016
,Rico Freimuth,GER,DNF,Mark,10.73,7.17,13.27,DNS,DNS,,,,,,7093747,og_2016
,Mihail Dudaš,SRB,DNF,Mark,10.83,7.29,14.23,2.04,49.13,14.65,43.27,4.60,DNS,,7093747,og_2016
,Oleksiy Kasyanov,UKR,DNF,Mark,10.78,7.54,14.50,2.01,48.56,14.34,NM,DNS,,,7093747,og_2016
,Eelco Sintnicolaas,NED,DNF,Mark,10.87,DNS,DNS,DNS,DNS,,,,,,7093747,og_2016
,Pieter Braun,NED,DNF,Mark,11.03,7.55,13.90,1.95,DNS,,,,,,7093747,og_2016
1,Damian WARNER,CAN,9018 OR,Mark,10.12,8.24,14.80,2.02,47.48,13.46,48.67,4.90,63.44,4:31.08,7132391,og_2021
2,Kevin MAYER,FRA,8726 SB,Mark,10.68,7.50,15.07,2.08,50.31,13.90,48.08,5.20,73.09,4:43.17,7132391,og_2021
3,Ashley MOLONEY,AUS,8649 AR,Mark,10.34,7.64,14.49,2.11,46.29,14.08,44.38,5.00,57.12,4:39.19,7132391,og_2021
4,Garrett SCANTLING,USA,8611,Mark,10.67,7.30,15.59,1.99,48.25,14.03,45.46,5.10,69.10,4:35.54,7132391,og_2021
5,Pierce LEPAGE,CAN,8604 PB,Mark,10.43,7.65,15.31,1.99,46.92,14.39,47.14,5.00,57.24,4:31.85,7132391,og_2021
6,Zachery ZIEMEK,USA,8435,Mark,10.55,7.20,14.99,2.05,49.06,14.51,44.87,5.30,60.44,4:38.38,7132391,og_2021
7,Lindon VICTOR,GRN,8414 SB,Mark,10.67,7.24,15.39,2.02,49.21,14.83,49.75,4.90,71.56,4:54.32,7132391,og_2021
8,Ilya SHKURENYOV,ANA,8413 SB,Mark,10.93,7.59,14.95,1.99,48.98,14.43,47.02,5.10,60.95,4:34.62,7132391,og_2021
9,Jorge ﻿UREÑA,ESP,8322 PB,Mark,10.66,7.30,13.97,2.05,48.00,14.13,43.70,4.90,55.82,4:27.82,7132391,og_2021
10,Steven BASTIEN,USA,8236,Mark,10.69,7.39,14.40,2.05,47.64,14.42,40.77,4.60,58.21,4:26.95,7132391,og_2021
11,Johannes ERM,EST,8213 SB,Mark,11.04,7.36,14.60,1.99,48.25,14.55,45.72,4.80,58.41,4:28.42,7132391,og_2021
12,Paweł WIESIOŁEK,POL,8176,Mark,10.83,7.27,14.90,2.02,48.24,14.95,48.27,4.80,51.60,4:30.02,7132391,og_2021
13,Vitaliy ZHUK,BLR,8131,Mark,11.04,6.93,16.23,1.96,49.22,14.95,47.01,5.10,59.49,4:42.57,7132391,og_2021
14,Kai KAZMIREK,GER,8126,Mark,11.09,7.48,14.46,2.02,48.17,14.73,42.70,4.80,63.76,4:48.30,7132391,og_2021
15,Maicel UIBO,EST,8037,Mark,11.32,7.37,13.95,2.02,50.82,14.83,46.38,5.50,50.64,4:38.64,7132391,og_2021
16,Adam Sebastian HELCELET,CZE,8004,Mark,11.06,7.16,14.99,1.96,49.41,14.35,45.40,4.60,61.54,4:44.74,7132391,og_2021
17,Jiří SÝKORA,CZE,7943,Mark,11.18,7.03,14.63,1.90,48.89,14.48,49.90,4.60,63.73,4:54.97,7132391,og_2021
18,Felipe DOS SANTOS,BRA,7880,Mark,10.58,7.38,14.13,2.02,49.31,14.58,39.91,4.60,54.56,4:52.40,7132391,og_2021
19,Martin ROE,NOR,7863,Mark,10.86,7.03,13.98,1.96,50.93,15.47,48.37,4.80,62.28,4:47.58,7132391,og_2021
20,Karel TILGA,EST,7018,Mark,11.31,6.77,15.25,2.02,50.48,16.10,41.31,NM,73.36,4:38.24,7132391,og_2021
21,Cedric DUBLER,AUS,7008,Mark,10.89,7.36,13.35,2.05,49.02,15.10,43.31,NM,58.52,5:03.69,7132391,og_2021
,Niklas KAUL,GER,DNF,Mark,11.22,7.36,14.55,2.11,DNF,DNS,DNS,DNS,,,7132391,og_2021
,Thomas VAN DER PLAETSEN,BEL,DNF,Mark,11.05,NM,DNS,DNS,DNS,,,,,,7132391,og_2021
1,Markus ROOTH,NOR,8796 NR,Mark,10.71,7.80,15.25,1.99,47.69,14.25,49.80,5.30,66.87,4:39.56,7153115,og_2024
2,Leo NEUGEBAUER,GER,8748,Mark,10.67,7.98,16.55,2.05,47.70,14.51,53.33,5.00,56.64,4:44.67,7153115,og_2024
3,Lindon VICTOR,GRN,8711 SB,Mark,10.56,7.48,15.71,2.02,47.84,14.62,53.91,4.90,68.22,4:43.53,7153115,og_2024
4,Sven ROOSEN,NED,8607 NR,Mark,10.52,7.56,15.10,1.87,46.40,13.99,46.88,4.70,63.72,4:18.55,7153115,og_2024
5,Janek ÕIGLANE,EST,8572 PB,Mark,10.89,7.25,14.58,1.99,48.02,14.45,43.39,5.30,71.89,4:25.59,7153115,og_2024
6,Johannes ERM,EST,8569,Mark,10.64,7.66,14.61,2.08,47.19,14.35,46.29,4.60,59.58,4:19.71,7153115,og_2024
7,Harrison WILLIAMS,USA,8538 SB,Mark,10.62,7.42,15.66,1.96,46.71,14.28,46.91,5.10,51.17,4:19.58,7153115,og_2024
8,Niklas KAUL,GER,8445,Mark,11.34,7.09,14.24,2.02,49.13,14.53,46.28,4.80,77.78,4:15.00,7153115,og_2024
9,Ayden OWENS-DELERME,PUR,8437,Mark,10.35,7.66,15.17,2.02,46.17,14.09,43.36,4.80,51.17,4:40.39,7153115,og_2024
10,Heath BALDWIN,USA,8422,Mark,10.91,7.38,14.48,2.17,49.04,14.04,43.66,4.70,67.59,4:40.67,7153115,og_2024
11,Karel TILGA,EST,8377 SB,Mark,11.01,7.16,15.88,1.99,48.67,14.66,50.13,4.70,64.16,4:26.41,7153115,og_2024
12,Makenson GLETTY,FRA,8309,Mark,10.72,7.10,16.64,1.99,47.48,13.96,46.03,4.70,53.02,4:35.58,7153115,og_2024
13,Ken MULLINGS,BAH,8226 NR,Mark,10.60,7.36,14.19,2.02,49.43,13.70,46.07,4.80,59.83,4:55.84,7153115,og_2024
14,Jose Fernando FERREIRA SANTANA,BRA,8213 PB,Mark,10.66,7.24,13.97,1.93,48.78,14.00,42.86,4.80,70.58,4:49.73,7153115,og_2024
15,Till STEINFORTH,GER,8170,Mark,10.52,7.61,13.96,1.96,47.96,14.37,42.59,4.70,59.14,4:45.43,7153115,og_2024
16,Rik TAAM,NED,8046 SB,Mark,10.64,7.27,14.27,1.93,47.73,14.78,39.31,4.70,57.08,4:24.82,7153115,og_2024
17,Zachery ZIEMEK,USA,7983,Mark,10.60,6.86,15.03,1.96,50.79,15.11,50.08,5.00,57.05,4:53.17,7153115,og_2024
18,Sander SKOTHEIM,NOR,7757,Mark,10.78,8.03,14.31,2.11,47.02,14.15,45.77,NM,59.79,4:37.49,7153115,og_2024
19,Daniel GOLUBOVIC,AUS,7566,Mark,11.32,6.60,13.89,1.93,50.37,15.15,44.65,4.60,59.33,4:39.02,7153115,og_2024
