,pos,athlete,country,points,data_type,100,lj,sp,hj,400,110h,dt,pv,jt,1500,event_id,event_name,1500_sec,100_speed,110h_speed,400_speed,1500_speed
0,1.0,Tomáš Dvořák,CZE,8902 CR,Mark,10.62,8.07,16.57,2.0,47.74,13.8,45.51,5.0,68.53,4:35.13,6947294.0,wa_2001,275.13,9.416195856873824,7.971014492753623,8.37871805613741,5.451968160505943
1,2.0,Erki Nool,EST,8815 NR,Mark,10.6,7.63,14.9,2.03,46.23,14.4,43.4,5.4,67.01,4:29.58,6947294.0,wa_2001,269.58,9.433962264150944,7.638888888888888,8.652390222799049,5.564210994880926
2,3.0,Dean Macey,GBR,8603 PB,Mark,10.72,7.59,15.41,2.15,46.21,14.34,46.96,4.7,54.61,4:29.05,6947294.0,wa_2001,269.05,9.328358208955223,7.670850767085077,8.656135035706557,5.5751719011336185
3,4.0,Attila Zsivoczky-Pandel,HUN,8371 SB,Mark,10.97,6.99,14.65,2.18,48.86,15.19,47.23,4.9,62.43,4:23.23,6947294.0,wa_2001,263.23,9.115770282588878,7.241606319947334,8.186655751125665,5.698438627815978
4,5.0,Lev Lobodin,RUS,8352,Mark,10.74,7.15,16.16,2.03,48.78,14.42,44.95,5.1,54.68,4:31.77,6947294.0,wa_2001,271.77,9.31098696461825,7.6282940360610265,8.200082000820007,5.519372999227288
5,6.0,Jiří Ryba,CZE,8332 SB,Mark,11.14,7.17,13.76,2.09,48.76,14.33,47.4,5.1,56.04,4:20.66,6947294.0,wa_2001,260.66,8.976660682226212,7.676203768318214,8.203445447087777,5.7546228803805715
6,7.0,Stefan Schmid,GER,8307 SB,Mark,10.87,7.43,13.55,1.97,47.86,14.57,43.16,5.1,65.13,4:33.98,6947294.0,wa_2001,273.98,9.199632014719413,7.549759780370624,8.357709987463435,5.474852178991167
7,8.0,Laurent Hernu,FRA,8280 PB,Mark,10.97,7.31,14.43,2.03,49.31,14.01,43.93,5.1,59.9,4:37.41,6947294.0,wa_2001,277.40999999999997,9.115770282588878,7.851534618129907,8.111944838775097,5.407159078620094
8,9.0,Oleksandr Yurkov,UKR,8264,Mark,10.93,7.37,15.15,1.97,49.45,14.41,48.1,5.0,58.63,4:38.43,6947294.0,wa_2001,278.43,9.149130832570906,7.633587786259542,8.088978766430738,5.3873505010235965
9,10.0,Roman Šebrle,CZE,8174,Mark,10.91,7.67,15.43,2.0,48.18,16.97,47.41,4.6,65.75,4:31.04,6947294.0,wa_2001,271.04,9.165902841429881,6.48202710665881,8.302200083022,5.534238488783943
10,11.0,Michael Nolan,CAN,8169 PB,Mark,11.29,6.98,15.17,1.97,49.86,14.86,50.3,4.9,64.57,4:31.44,6947294.0,wa_2001,271.44,8.857395925597874,7.402422611036339,8.022462896109106,5.526083112290009
11,12.0,Mário Aníbal,POR,8155,Mark,10.84,7.11,15.35,2.0,48.46,14.45,44.22,5.0,53.23,4:36.64,6947294.0,wa_2001,276.64,9.22509225092251,7.612456747404845,8.254230293025175,5.422209369577791
12,13.0,Zsolt Kürtösi,HUN,8097,Mark,11.03,7.17,15.34,2.06,48.68,14.5,45.2,4.7,58.87,4:49.61,6947294.0,wa_2001,289.61,9.066183136899365,7.586206896551724,8.216926869350862,5.179379165084078
13,14.0,Benjamin Jensen,NOR,8090 SB,Mark,10.79,7.08,14.47,1.88,48.27,14.22,39.89,5.3,56.51,4:36.45,6947294.0,wa_2001,276.45,9.267840593141798,7.7355836849507735,8.286720530350113,5.425935973955507
14,15.0,Phil McMullen,USA,8079,Mark,11.39,6.94,15.12,1.97,49.08,15.09,48.85,5.1,53.5,4:20.84,6947294.0,wa_2001,260.84,8.779631255487269,7.289595758780649,8.14995925020375,5.750651740530594
15,16.0,Chiel Warners,NED,7916,Mark,10.9,7.48,14.47,1.94,48.28,14.36,44.93,4.3,55.89,4:48.33,6947294.0,wa_2001,288.33,9.174311926605505,7.660167130919221,8.285004142502071,5.202372281760483
16,17.0,Kip Janvrin,USA,7905,Mark,11.17,6.72,13.45,1.88,48.26,14.77,43.39,5.0,57.96,4:19.26,6947294.0,wa_2001,259.26,8.952551477170994,7.447528774542993,8.288437629506838,5.785697755149271
42,1.0,Bryan Clay,USA,8732 WL,Mark,10.43,7.54,16.25,2.0,47.78,14.43,53.68,4.9,72.0,5:03.77,6937596.0,wa_2005,303.77,9.587727708533079,7.623007623007624,8.371703641691084,4.9379464726602365
43,2.0,Roman Šebrle,CZE,8521,Mark,10.91,7.86,16.29,2.06,48.62,14.71,46.85,4.8,63.21,4:39.54,6937596.0,wa_2005,279.54,9.165902841429881,7.477906186267845,8.227067050596462,5.365958360163125
44,3.0,Attila Zsivoczky-Pandel,HUN,8385,Mark,10.9,7.03,15.72,2.15,49.29,15.15,49.58,4.8,63.02,4:32.17,6937596.0,wa_2005,272.17,9.174311926605505,7.260726072607261,8.115236356258876,5.511261344012933
45,4.0,André Niklaus,GER,8316 PB,Mark,11.04,7.2,14.24,2.03,49.42,14.78,46.13,5.3,61.74,4:28.93,6937596.0,wa_2005,268.93,9.057971014492754,7.442489851150203,8.093889113719142,5.577659614025954
46,5.0,Aleksandr Pogorelov,RUS,8246,Mark,10.86,7.49,15.9,2.09,50.58,14.45,46.68,5.0,59.79,5:03.62,6937596.0,wa_2005,303.62,9.208103130755065,7.612456747404845,7.908264136022144,4.940386008826823
47,6.0,Kristjan Rahnu,EST,8223,Mark,10.59,7.36,15.79,2.03,48.58,14.87,47.13,4.7,61.65,4:59.73,6937596.0,wa_2005,299.73,9.442870632672333,7.397444519166107,8.233841086867024,5.004504053648283
48,7.0,Romain Barras,FRA,8087,Mark,11.15,7.35,14.62,1.94,48.63,14.65,44.24,4.8,60.39,4:31.94,6937596.0,wa_2005,271.94,8.968609865470851,7.508532423208191,8.225375282747274,5.51592262999191
49,8.0,Tomáš Dvořák,CZE,8068,Mark,10.94,7.31,15.95,2.0,50.34,14.81,45.69,4.2,64.89,4:34.24,6937596.0,wa_2005,274.24,9.140767824497258,7.4274139095205935,7.945967421533571,5.4696616102683775
50,9.0,Jaakko Ojaniemi,FIN,8042 SB,Mark,10.67,7.57,14.95,1.91,50.29,15.04,42.41,4.5,66.27,4:38.18,6937596.0,wa_2005,278.18,9.372071227741332,7.3138297872340425,7.953867568104991,5.392192105830757
51,10.0,Aleksey Drozdov,RUS,8038,Mark,11.07,7.24,15.43,2.06,51.11,15.67,50.13,4.5,63.67,4:38.96,6937596.0,wa_2005,278.96,9.033423667570009,7.019783024888322,7.82625709254549,5.377114998566103
52,11.0,Hamdi Dhouibi,TUN,8023 AR,Mark,10.67,7.43,12.85,1.94,47.04,14.56,41.17,4.8,52.83,4:31.24,6937596.0,wa_2005,271.24,9.372071227741332,7.554945054945055,8.503401360544219,5.530157793835717
53,12.0,Mikk Pahapill,EST,8003,Mark,11.06,7.27,15.36,2.06,51.44,15.37,45.81,4.8,63.53,4:48.26,6937596.0,wa_2005,288.26,9.041591320072332,7.156798959011061,7.776049766718508,5.203635606743912
54,13.0,Paul Terek,USA,7921,Mark,10.83,7.16,14.31,1.97,48.85,15.83,44.65,5.0,54.46,4:36.59,6937596.0,wa_2005,276.59000000000003,9.233610341643583,6.948831332912192,8.18833162743091,5.4231895585523695
55,14.0,Frédéric Xhonneux,BEL,7616,Mark,11.28,7.21,12.92,2.03,49.04,15.75,38.62,4.7,50.18,4:22.71,6937596.0,wa_2005,262.71,8.865248226950355,6.984126984126984,8.156606851549755,5.709717939933768
56,15.0,Roland Schwarzl,AUT,7549,Mark,11.06,7.1,13.73,1.82,50.81,14.9,45.56,4.9,50.67,4:51.25,6937596.0,wa_2005,291.25,9.041591320072332,7.382550335570469,7.872466049990159,5.150214592274678
57,16.0,Óscar González,ESP,7526,Mark,11.07,7.2,13.63,2.0,49.71,14.96,37.03,4.6,45.54,4:35.25,6937596.0,wa_2005,275.25,9.033423667570009,7.352941176470588,8.046670690002012,5.449591280653951
68,1.0,Roman Šebrle,CZE,8676,Mark,11.04,7.56,15.92,2.12,48.8,14.33,48.75,4.8,71.18,4:35.32,6903480.0,wa_2007,275.32,9.057971014492754,7.676203768318214,8.196721311475411,5.448205724248147
69,2.0,Maurice Smith,JAM,8644 NR,Mark,10.62,7.5,17.32,1.97,47.48,13.91,52.36,4.8,53.61,4:33.52,6903480.0,wa_2007,273.52,9.416195856873824,7.907979870596693,8.424599831508004,5.4840596665691725
70,3.0,Dmitriy Karpov,KAZ,8586 SB,Mark,10.7,7.19,16.08,2.06,47.44,14.03,48.95,5.0,59.84,4:39.68,6903480.0,wa_2007,279.68,9.345794392523365,7.840342124019958,8.431703204047217,5.363272311212815
71,4.0,Aleksey Drozdov,RUS,8475 PB,Mark,10.97,7.25,16.49,2.12,50.0,14.76,48.62,5.0,63.51,4:36.93,6903480.0,wa_2007,276.93,9.115770282588878,7.452574525745257,8.0,5.416531253385332
72,5.0,André Niklaus,GER,8371 PB,Mark,11.12,7.42,14.12,2.06,49.4,14.51,44.48,5.3,63.28,4:32.50,6903480.0,wa_2007,272.5,8.992805755395684,7.580978635423846,8.097165991902834,5.504587155963303
73,6.0,Alexey Sysoev,RUS,8357 PB,Mark,10.8,7.01,16.16,2.03,48.42,14.59,49.76,4.9,57.75,4:36.16,6903480.0,wa_2007,276.15999999999997,9.25925925925926,7.539410555174777,8.261049153242462,5.431633835457706
74,7.0,Romain Barras,FRA,8262,Mark,11.36,7.13,15.03,2.0,49.32,14.36,44.51,5.0,65.74,4:25.75,6903480.0,wa_2007,265.75,8.802816901408452,7.660167130919221,8.110300081103,5.644402634054563
75,8.0,Yordani García,CUB,8257 NR,Mark,10.73,7.15,14.94,2.09,49.25,14.08,42.91,4.7,68.74,4:55.42,6903480.0,wa_2007,295.42,9.319664492078285,7.8125,8.121827411167512,5.077516755805294
76,9.0,Arthur Abele,GER,8243,Mark,10.87,7.17,13.58,2.0,48.58,13.92,41.28,4.7,65.24,4:21.69,6903480.0,wa_2007,261.69,9.199632014719413,7.902298850574713,8.233841086867024,5.7319729450876995
77,10.0,Paul Terek,USA,8120,Mark,10.95,7.26,14.81,2.0,49.34,15.1,44.81,5.2,55.96,4:37.38,6903480.0,wa_2007,277.38,9.132420091324201,7.28476821192053,8.107012565869477,5.407743889249406
78,11.0,Hans van Alphen,BEL,8034,Mark,11.11,7.35,14.67,1.88,48.52,14.77,44.3,4.3,65.71,4:22.50,6903480.0,wa_2007,262.5,9.000900090009,7.447528774542993,8.244023083264633,5.714285714285714
79,12.0,Attila Zsivoczky-Pandel,HUN,8017 SB,Mark,11.44,7.0,15.13,2.09,50.58,14.82,46.8,4.8,59.63,4:35.55,6903480.0,wa_2007,275.55,8.741258741258742,7.422402159244264,7.908264136022144,5.443658138268916
80,13.0,Jake Arnold,USA,8004,Mark,11.14,6.86,14.73,2.06,49.02,14.72,43.7,5.1,56.01,4:43.58,6903480.0,wa_2007,283.58,8.976660682226212,7.4728260869565215,8.159934720522235,5.289512659566966
81,14.0,Aliaksandr Parkhomenka,BLR,7984,Mark,11.29,6.92,15.98,1.94,51.16,14.93,44.86,4.7,69.14,4:34.63,6903480.0,wa_2007,274.63,8.857395925597874,7.367716008037508,7.8186082877247856,5.461894184903325
82,15.0,François Gourmet,BEL,7974 PB,Mark,10.67,7.15,13.74,1.85,47.98,15.02,39.87,5.0,57.73,4:25.51,6903480.0,wa_2007,265.51,9.372071227741332,7.323568575233023,8.336807002917883,5.649504726752288
83,16.0,Andres Raja,EST,7794,Mark,10.92,7.42,14.26,1.85,48.89,14.51,37.07,4.7,60.34,4:45.83,6903480.0,wa_2007,285.83,9.157509157509157,7.580978635423846,8.181632235631008,5.247874610782634
84,17.0,Agustín Félix,ESP,7749,Mark,11.17,7.12,13.29,2.03,52.08,14.75,43.67,5.0,56.69,4:48.27,6903480.0,wa_2007,288.27,8.952551477170994,7.4576271186440675,7.680491551459293,5.203455094182537
85,18.0,Alberto Juantorena,CUB,7657,Mark,11.13,7.43,13.54,2.09,50.37,14.97,41.69,4.2,56.28,4:50.69,6903480.0,wa_2007,290.69,8.98472596585804,7.348029392117568,7.9412348620210444,5.160136227596409
86,19.0,Hiromasa Tanaka,JPN,7629,Mark,11.05,6.78,11.92,1.88,48.59,15.53,41.65,5.1,59.59,4:40.04,6903480.0,wa_2007,280.04,9.049773755656108,7.083065035415325,8.232146532208272,5.356377660334237
87,20.0,Josef Karas,CZE,7625,Mark,11.12,7.44,13.23,1.94,50.6,15.17,45.58,4.4,49.28,4:31.21,6903480.0,wa_2007,271.21,8.992805755395684,7.251153592617007,7.905138339920948,5.530769514398437
88,21.0,Kun-woo Kim,KOR,7531 SB,Mark,11.29,7.12,12.83,1.91,48.99,14.89,36.23,4.8,44.79,4:16.16,6903480.0,wa_2007,256.16,8.857395925597874,7.387508394895903,8.164931618697693,5.855715178013741
90,23.0,Hans Olav Uldal,NOR,6698,Mark,11.21,6.93,13.65,1.82,50.7,27.24,45.31,4.5,61.63,4:44.91,6903480.0,wa_2007,284.90999999999997,8.920606601248885,4.038179148311307,7.889546351084812,5.264820469621987
98,1.0,Trey Hardee,USA,8790,Mark,10.45,7.83,15.33,1.99,48.13,13.86,48.08,5.2,68.0,4:48.91,6998524.0,wa_2009,288.90999999999997,9.569377990430622,7.936507936507937,8.310824849366298,5.191928282163996
99,2.0,Leonel Suárez,CUB,8640,Mark,11.13,7.24,15.2,2.11,48.0,14.45,44.71,5.0,75.19,4:27.25,6998524.0,wa_2009,267.25,8.98472596585804,7.612456747404845,8.333333333333334,5.612722170252573
100,3.0,Oleksiy Kasyanov,UKR,8479,Mark,10.63,7.8,15.72,2.05,47.85,14.44,46.7,4.8,49.0,4:24.52,6998524.0,wa_2009,264.52,9.40733772342427,7.617728531855956,8.359456635318704,5.670648722213822
101,4.0,Alexey Sysoev,RUS,8454,Mark,10.85,6.87,16.17,2.02,49.32,14.97,53.03,5.1,64.55,4:34.97,6998524.0,wa_2009,274.97,9.216589861751153,7.348029392117568,8.110300081103,5.455140560788449
102,5.0,Pascal Behrenbruch,GER,8439,Mark,10.92,7.09,15.77,2.02,48.72,14.24,48.06,4.8,69.72,4:39.45,6998524.0,wa_2009,279.45,9.157509157509157,7.724719101123595,8.210180623973727,5.367686527106817
103,6.0,Nicklas Wiberg,SWE,8406,Mark,10.96,7.25,14.99,2.05,48.73,14.75,42.28,4.5,75.02,4:17.05,6998524.0,wa_2009,257.05,9.124087591240874,7.4576271186440675,8.208495793145907,5.83544057576347
104,7.0,Yordani García,CUB,8387,Mark,10.6,7.05,15.15,2.08,48.34,14.08,44.4,4.7,69.37,4:49.45,6998524.0,wa_2009,289.45,9.433962264150944,7.8125,8.274720728175424,5.182242183451374
105,8.0,Yunior Díaz,CUB,8357,Mark,10.66,7.72,14.54,2.02,46.15,14.56,43.52,4.6,60.09,4:40.58,6998524.0,wa_2009,280.58,9.380863039399625,7.554945054945055,8.66738894907909,5.346068857366883
106,9.0,Andrei Krauchanka,BLR,8281,Mark,11.18,7.62,13.96,2.11,48.77,14.13,42.24,4.9,60.71,4:37.77,6998524.0,wa_2009,277.77,8.94454382826476,7.78485491861288,8.201763379126511,5.400151204233719
107,10.0,Roman Šebrle,CZE,8266,Mark,11.16,7.8,14.98,2.11,50.42,14.44,46.3,4.6,65.61,4:50.33,6998524.0,wa_2009,290.33,8.960573476702509,7.617728531855956,7.933359777865926,5.166534633003823
108,11.0,Romain Barras,FRA,8204,Mark,11.14,7.04,14.78,1.99,49.66,14.27,45.62,5.0,61.24,4:27.04,6998524.0,wa_2009,267.04,8.976660682226212,7.708479327259986,8.054772452678213,5.617136009586578
109,12.0,Larbi Bourrada,ALG,8171,Mark,10.68,7.35,12.3,2.05,48.58,14.57,37.83,4.7,62.53,4:12.15,6998524.0,wa_2009,252.15,9.363295880149813,7.549759780370624,8.233841086867024,5.94883997620464
110,13.0,Willem Coertzen,RSA,8146,Mark,10.89,7.32,13.16,2.02,48.63,14.26,42.4,4.6,65.46,4:32.57,6998524.0,wa_2009,272.57,9.182736455463727,7.713884992987377,8.225375282747274,5.50317349671644
111,14.0,Andres Raja,EST,8119,Mark,10.82,7.38,14.55,1.99,49.0,14.22,42.75,4.8,57.73,4:40.73,6998524.0,wa_2009,280.73,9.242144177449168,7.7355836849507735,8.16326530612245,5.343212339258362
112,15.0,Norman Müller,GER,8096,Mark,11.01,7.35,14.93,1.99,48.2,14.59,41.21,4.8,57.4,4:33.02,6998524.0,wa_2009,273.02,9.082652134423252,7.539410555174777,8.29875518672199,5.494102996117501
113,16.0,Vasiliy Kharlamov,RUS,8065,Mark,11.22,7.38,14.95,1.93,49.44,14.83,46.24,5.0,59.93,4:41.54,6998524.0,wa_2009,281.54,8.9126559714795,7.4173971679029,8.090614886731393,5.327839738580663
114,17.0,Ashton Eaton,USA,8061,Mark,10.53,7.85,12.26,2.02,47.75,14.28,37.15,5.0,50.87,4:45.03,6998524.0,wa_2009,285.03,9.49667616334283,7.703081232492997,8.37696335078534,5.262603936427745
115,18.0,Eugene Martineau,NED,8055,Mark,11.18,7.41,12.66,1.99,50.26,14.91,44.94,4.8,70.14,4:35.27,6998524.0,wa_2009,275.27,8.94454382826476,7.377598926894701,7.958615200955034,5.449195335488793
116,19.0,Ingmar Vos,NED,8009,Mark,10.9,7.21,13.78,2.02,49.99,14.51,42.39,4.4,64.27,4:28.51,6998524.0,wa_2009,268.51,9.174311926605505,7.580978635423846,8.001600320064012,5.586384119772076
117,20.0,Dmitriy Karpov,KAZ,7952,Mark,11.02,6.86,15.27,2.05,49.45,14.46,48.93,4.8,51.38,4:53.61,6998524.0,wa_2009,293.61,9.074410163339383,7.607192254495159,8.088978766430738,5.108817819556554
118,21.0,Nadir El Fassi,FRA,7922,Mark,11.12,7.26,13.62,1.99,51.35,14.9,42.25,4.8,57.65,4:16.51,6998524.0,wa_2009,256.51,8.992805755395684,7.382550335570469,7.789678675754625,5.84772523488363
119,22.0,Brent Newdick,NZL,7915,Mark,11.11,7.42,14.35,1.99,50.1,14.82,43.6,4.8,51.52,4:30.57,6998524.0,wa_2009,270.57,9.000900090009,7.422402159244264,7.984031936127744,5.54385186827808
120,23.0,Jake Arnold,USA,7837,Mark,11.01,6.73,13.97,1.96,49.07,14.4,43.23,4.7,57.37,4:35.93,6998524.0,wa_2009,275.93,9.082652134423252,7.638888888888888,8.151620134501732,5.436161345268728
121,24.0,Daniel Almgren,SWE,7803,Mark,10.92,7.29,13.43,1.99,47.68,15.14,34.33,4.3,56.69,4:13.47,6998524.0,wa_2009,253.47,9.157509157509157,7.265521796565389,8.389261744966444,5.917860101787194
122,25.0,Daisuke Ikeda,JPN,7788,Mark,11.16,7.09,13.43,1.87,49.28,14.9,39.72,4.6,63.73,4:22.39,6998524.0,wa_2009,262.39,8.960573476702509,7.382550335570469,8.116883116883116,5.7166812759632615
123,26.0,Moritz Cleve,GER,7777,Mark,11.06,7.27,14.12,1.87,49.17,14.54,39.62,4.6,54.26,4:25.96,6998524.0,wa_2009,265.96,9.041591320072332,7.565337001375516,8.135041692088672,5.639945856519778
124,27.0,Yevhen Nikitin,UKR,7710,Mark,11.04,6.92,14.69,1.93,49.5,14.87,42.71,4.6,54.73,4:40.12,6998524.0,wa_2009,280.12,9.057971014492754,7.397444519166107,8.080808080808081,5.354847922319006
125,28.0,Mateo Sossah,FRA,7682,Mark,11.57,7.04,11.97,2.05,49.6,14.83,41.25,4.4,59.67,4:20.40,6998524.0,wa_2009,260.4,8.64304235090752,7.4173971679029,8.064516129032258,5.760368663594471
126,29.0,Simon Walter,SUI,7649,Mark,11.05,7.21,12.8,1.93,49.67,14.83,42.48,5.0,54.91,5:01.12,6998524.0,wa_2009,301.12,9.049773755656108,7.4173971679029,8.05315079524864,4.981402763018066
127,30.0,Attila Szabó,HUN,7610,Mark,11.15,7.09,13.92,1.84,49.79,14.65,43.75,4.4,59.56,4:45.64,6998524.0,wa_2009,285.64,8.968609865470851,7.508532423208191,8.033741715203856,5.2513653549922985
128,31.0,Agustín Félix,ESP,7539,Mark,11.32,7.19,13.23,2.08,52.41,14.8,42.81,4.9,50.1,5:00.50,6998524.0,wa_2009,300.5,8.8339222614841,7.4324324324324325,7.63213127265789,4.9916805324459235
129,32.0,Mikk-Mihkel Arro,EST,7528,Mark,11.11,6.94,14.42,1.9,51.28,14.82,41.83,4.5,56.21,4:44.14,6998524.0,wa_2009,284.14,9.000900090009,7.422402159244264,7.800312012480499,5.279087773632717
130,33.0,Atis Vaisjuns,LAT,7507,Mark,11.27,6.94,14.07,1.99,49.88,15.27,42.02,4.4,57.5,4:52.08,6998524.0,wa_2009,292.08,8.873114463176575,7.203667321545514,8.019246190858059,5.135579293344289
136,1.0,Trey Hardee,USA,8607,Mark,10.55,7.45,15.09,2.02,48.37,13.97,49.89,4.8,68.99,4:45.68,7003367.0,wa_2011,285.68,9.47867298578199,7.874015748031495,8.26958858796775,5.250630075609073
137,2.0,Ashton Eaton,USA,8505,Mark,10.46,7.46,14.44,2.02,46.99,13.85,46.17,4.6,55.17,4:18.94,7003367.0,wa_2011,258.94,9.56022944550669,7.9422382671480145,8.512449457331346,5.792847763960763
138,3.0,Leonel Suárez,CUB,8501 SB,Mark,11.07,7.33,14.54,2.05,49.17,14.29,46.25,5.0,69.12,4:24.16,7003367.0,wa_2011,264.16,9.033423667570009,7.697690692792163,8.135041692088672,5.678376741368867
139,4.0,Aleksey Drozdov,RUS,8313,Mark,11.34,7.45,16.17,2.14,51.35,15.49,50.29,5.0,64.8,4:41.73,7003367.0,wa_2011,281.73,8.818342151675486,7.101355713363461,7.789678675754625,5.324246619103397
140,5.0,Eelco Sintnicolaas,NED,8298,Mark,10.76,7.29,14.13,1.93,48.35,14.42,42.23,5.2,61.07,4:25.40,7003367.0,wa_2011,265.4,9.29368029739777,7.6282940360610265,8.273009307135471,5.651846269781462
141,6.0,Mihail Dudaš,SRB,8256 NR,Mark,10.81,7.41,13.76,2.02,47.73,14.89,43.97,4.9,58.93,4:26.06,7003367.0,wa_2011,266.06,9.250693802035153,7.387508394895903,8.380473496752566,5.637826054273472
142,7.0,Pascal Behrenbruch,GER,8211,Mark,11.08,6.8,16.01,1.93,49.9,14.33,48.56,4.9,66.5,4:36.64,7003367.0,wa_2011,276.64,9.025270758122744,7.676203768318214,8.016032064128257,5.422209369577791
143,8.0,Jan Felix Knobel,GER,8200,Mark,11.18,7.3,16.06,1.96,49.46,14.92,47.93,4.7,68.42,4:43.12,7003367.0,wa_2011,283.12,8.94454382826476,7.372654155495979,8.087343307723414,5.298106809833286
144,9.0,Mikk Pahapill,EST,8164,Mark,11.28,7.12,14.76,2.02,50.65,14.54,47.16,4.9,66.4,4:35.41,7003367.0,wa_2011,275.40999999999997,8.865248226950355,7.565337001375516,7.897334649555775,5.446425329508733
145,10.0,Larbi Bourrada,ALG,8158,Mark,10.88,7.42,13.11,1.96,47.34,14.56,37.84,4.9,59.0,4:14.97,7003367.0,wa_2011,254.97,9.191176470588236,7.554945054945055,8.449514152936205,5.8830450641251915
146,11.0,Romain Barras,FRA,8134 SB,Mark,11.2,7.06,14.92,1.99,49.5,14.37,41.65,5.0,63.25,4:29.19,7003367.0,wa_2011,269.19,8.928571428571429,7.654836464857342,8.080808080808081,5.572272372673576
147,12.0,Oleksiy Kasyanov,UKR,8132,Mark,10.75,7.59,14.43,1.99,48.46,14.65,43.74,4.7,52.16,4:29.35,7003367.0,wa_2011,269.35,9.30232558139535,7.508532423208191,8.254230293025175,5.5689623166883235
148,13.0,Thomas van der Plaetsen,BEL,8069,Mark,11.2,7.79,12.76,2.17,49.46,14.79,37.2,5.1,58.91,4:45.86,7003367.0,wa_2011,285.86,8.928571428571429,7.437457741717377,8.087343307723414,5.247323864828937
149,14.0,Roman Šebrle,CZE,8069,Mark,11.25,7.3,15.2,2.05,51.18,14.75,46.93,4.8,67.28,4:56.50,7003367.0,wa_2011,296.5,8.88888888888889,7.4576271186440675,7.815552950371239,5.059021922428331
150,15.0,Andres Raja,EST,7982,Mark,10.85,7.21,14.61,1.99,49.47,14.04,43.39,4.7,57.35,4:52.28,7003367.0,wa_2011,292.28,9.216589861751153,7.834757834757835,8.085708510208207,5.132065143013549
151,16.0,Luiz Alberto de Araújo,BRA,7902,Mark,10.71,6.74,14.77,1.9,48.48,14.25,46.46,4.7,54.38,4:47.29,7003367.0,wa_2011,287.29,9.337068160597571,7.719298245614035,8.250825082508252,5.221205054126492
152,17.0,Kun-woo Kim,KOR,7860 NR,Mark,11.11,7.24,12.96,1.96,49.24,14.95,39.53,4.9,53.33,4:15.63,7003367.0,wa_2011,255.63,9.000900090009,7.357859531772576,8.123476848090982,5.867855885459453
153,18.0,Damian Warner,CAN,7832,Mark,10.56,7.35,13.26,2.02,50.12,14.19,41.71,4.5,54.61,4:54.37,7003367.0,wa_2011,294.37,9.469696969696969,7.7519379844961245,7.980845969672786,5.095627951217855
154,19.0,Brent Newdick,NZL,7761,Mark,11.0,7.31,13.75,1.96,49.95,14.86,45.65,4.5,55.69,4:47.30,7003367.0,wa_2011,287.3,9.090909090909092,7.402422611036339,8.008008008008007,5.221023320570832
155,20.0,Keisuke Ushiro,JPN,7639,Mark,11.42,6.96,12.88,2.02,50.89,15.2,43.84,4.4,67.73,4:43.87,7003367.0,wa_2011,283.87,8.756567425569177,7.236842105263158,7.860090391039497,5.284108923098602
156,21.0,Dmitriy Karpov,KAZ,7550,Mark,11.24,6.86,15.69,1.93,52.01,14.64,47.1,4.8,46.91,4:58.41,7003367.0,wa_2011,298.40999999999997,8.896797153024911,7.5136612021857925,7.690828686791002,5.026641198351262
166,1.0,Ashton Eaton,USA,8809 WL,Mark,10.35,7.73,14.39,1.93,46.02,13.72,45.0,5.2,64.83,4:29.80,7003368.0,wa_2013,269.8,9.66183574879227,8.017492711370261,8.69187309865276,5.559673832468495
167,2.0,Michael Schrader,GER,8670 PB,Mark,10.73,7.85,14.56,1.99,47.66,14.29,46.44,5.0,65.67,4:25.38,7003368.0,wa_2013,265.38,9.319664492078285,7.697690692792163,8.392782207301721,5.652272213429799
168,3.0,Damian Warner,CAN,8512 PB,Mark,10.43,7.39,14.23,2.05,48.41,13.96,44.13,4.8,64.67,4:29.97,7003368.0,wa_2013,269.97,9.587727708533079,7.8796561604584525,8.262755629002273,5.5561729081008995
169,4.0,Kevin Mayer,FRA,8446 PB,Mark,11.23,7.5,13.76,2.05,49.53,14.21,45.37,5.2,66.09,4:25.04,7003368.0,wa_2013,265.04,8.904719501335707,7.741027445460943,8.075913587724612,5.6595230908542105
170,5.0,Eelco Sintnicolaas,NED,8391 SB,Mark,10.85,7.65,14.08,2.02,48.25,14.18,39.21,5.3,56.75,4:24.64,7003368.0,wa_2013,264.64,9.216589861751153,7.757404795486601,8.290155440414507,5.66807738814994
171,6.0,Carlos Chinin,BRA,8388,Mark,10.78,7.54,14.49,1.96,48.8,14.05,45.84,5.1,59.98,4:36.01,7003368.0,wa_2013,276.01,9.27643784786642,7.829181494661921,8.196721311475411,5.434585703416543
172,7.0,Rico Freimuth,GER,8382 PB,Mark,10.6,7.22,14.8,1.99,48.05,13.9,48.74,4.9,56.21,4:37.83,7003368.0,wa_2013,277.83,9.433962264150944,7.913669064748201,8.324661810613945,5.398984990821726
173,8.0,Ilya Shkurenyov,RUS,8370 PB,Mark,10.97,7.35,13.88,2.05,48.39,14.34,44.06,5.4,59.46,4:36.95,7003368.0,wa_2013,276.95,9.115770282588878,7.670850767085077,8.266170696424881,5.416140097490522
174,9.0,Willem Coertzen,RSA,8343 AR,Mark,10.95,7.44,13.88,2.05,48.32,14.3,43.25,4.5,69.35,4:24.60,7003368.0,wa_2013,264.6,9.132420091324201,7.692307692307692,8.278145695364238,5.668934240362812
